,date,value,changed
467,2018-12-01,262.124,123.8688959690032
468,2019-01-01,262.46,123.99707957676135
469,2019-02-01,263.144,124.25769071750662
470,2019-03-01,263.951,124.5643669100096
471,2019-04-01,264.649,124.82880993163103
472,2019-05-01,265.129,125.01018223985815
473,2019-06-01,265.866,125.28816012986641
474,2019-07-01,266.527,125.53678161587816
475,2019-08-01,266.832,125.65121655117552
476,2019-09-01,267.574,125.92929414306855
477,2019-10-01,267.93,126.06234144960804
478,2019-11-01,268.444,126.25418260214789
479,2019-12-01,268.86,126.40914974613322
480,2020-01-01,269.658,126.70595849418054
481,2020-02-01,270.38,126.97370504722178
482,2020-03-01,270.293,126.94152811105788
483,2020-04-01,270.353,126.96372624419487
484,2020-05-01,270.86,127.15125884046716
485,2020-06-01,271.303,127.31481196754389
486,2020-07-01,271.951,127.55365930797139
487,2020-08-01,272.52,127.76288817640723
488,2020-09-01,272.862,127.88838355289337
489,2020-10-01,273.13,127.98660169979547
490,2020-11-01,273.782,128.2253158652112
491,2020-12-01,274.286,128.40940393528155
492,2021-01-01,274.434,128.46336221240836
493,2021-02-01,275.161,128.72827107938548
494,2021-03-01,276.016,129.038998253658
495,2021-04-01,277.415,129.54585292874933
496,2021-05-01,278.701,130.00941834518318
497,2021-06-01,279.816,130.40948867144678
498,2021-07-01,281.093,130.86586000117777
499,2021-08-01,282.054,131.20773973493135
500,2021-09-01,283.466,131.7083530926572
501,2021-10-01,285.471,132.415668961227
502,2021-11-01,286.89,132.9127422191061
503,2021-12-01,288.223,133.37738023367615
504,2022-01-01,289.935,133.97136475260766
505,2022-02-01,291.482,134.5049326212679
506,2022-03-01,293.491,135.194169006362
507,2022-04-01,295.454,135.86301404760687
508,2022-05-01,297.983,136.7189848586299
509,2022-06-01,300.396,137.52876259762843
510,2022-07-01,301.918,138.03542713377405
511,2022-08-01,304.232,138.8018604037348
512,2022-09-01,306.231,139.45892474936574
513,2022-10-01,307.967,140.02581706268478
514,2022-11-01,309.285,140.45378499431382
515,2022-12-01,311.379,141.13083043783678
516,2023-01-01,313.808,141.91090873470327
517,2023-02-01,315.383,142.41280798520037
518,2023-03-01,316.334,142.71434611502983
519,2023-04-01,317.413,143.055441286589
520,2023-05-01,318.241,143.31630016760522
521,2023-06-01,319.348,143.66414975329658
522,2023-07-01,320.635,144.06715838338036
523,2023-08-01,321.637,144.37966325652272
524,2023-09-01,323.254,144.8824039237967
525,2023-10-01,324.152,145.16020404382613
526,2023-11-01,325.428,145.55384653253515
527,2023-12-01,326.409,145.85529570101482
